,word,centrality
107,behold,0.0015011750904906866
108,she,0.0014697889817129226
109,sin,0.001462547475212403
110,things,0.0014287674202833971
111,through,0.0014200554425501197
112,thus,0.0014079955879257816
113,yet,0.0013308620298441353
114,now,0.00132533266931307
115,themselves,0.0013168078037183377
116,without,0.0012661056159759027
117,own,0.0012445232387944857
118,other,0.0012175535360638566
119,see,0.0012085439893782417
120,should,0.001159203707845418
121,ever,0.001142663933540579
122,water,0.001124363084451674
123,let,0.0011118987250115433
124,earth,0.0010866389706146544
125,therefore,0.001081478378675198
126,more,0.0010577911346442766
127,women,0.0010223890763063498
128,o,0.0010171444945536734
129,except,0.0010129327001045213
130,moses,0.0010011698126968524
131,himself,0.001000986101632732
132,hearts,0.0009964518122693557
133,punishment,0.000984672917823757
134,hath,0.0009799876755047362
135,made,0.0009523428849112657
136,how,0.0009424060759750522
137,others,0.0009189910495968609
138,may,0.0009009114266181756
139,eyes,0.0008951734503609355
140,while,0.0008921644940260143
141,fire,0.0008909038325494537
142,give,0.0008742892396148043
143,unto,0.0008679284705644357
144,full,0.0008654954055076727
145,yourselves,0.000864958895129177
146,back,0.0008521709345411798
147,messenger,0.0008480099368733589
148,nay,0.0008382434619230481
149,death,0.0008334418749739213
150,day,0.0008330294710537678
151,upon,0.0008287208171590874
152,faith,0.0008235663951747176
153,than,0.0008170424817643289
154,wind,0.0008071728183384162
155,take,0.0007732604253279103
156,truth,0.0007603921859878793
157,near,0.0007562567920786244
158,mutual,0.0007266750313436028
159,make,0.0007169382070104466
160,come,0.0007134169289425107
161,neither,0.0006951445572799073
162,turn,0.0006823121946430451
163,clear,0.000680300250662952
164,book,0.000664144727034901
165,penalty,0.0006623177543591696
166,though,0.0006598468099846677
167,life,0.0006455908189574084
168,round,0.0006275751937797636
169,until,0.0006232111606362562
170,go,0.0006128430531447182
171,few,0.000606424789969078
172,again,0.0005937764899407958
173,behind,0.0005896023511001395
174,none,0.0005787602698269415
175,certainly,0.0005778063780848921
176,animals,0.0005720583971466888
177,must,0.0005702912887650894
178,gardens,0.0005696627339894151
179,nothing,0.0005688268355369393
180,mercy,0.0005685169407265539
181,saying,0.0005682833415672197
182,together,0.0005656980636160397
183,right,0.000565159991687529
184,left,0.0005635818522581375
185,become,0.0005626656536615306
186,well,0.000548326279411742
187,being,0.0005478794625927321
188,ones,0.0005461526942120689
189,set,0.0005418341742406466
190,off,0.0005352312775226576
191,female,0.0005326908094721626
192,allahs,0.0005288575032949479
193,whether,0.0005236464956351357
194,both,0.0005232699864831904
195,thereof,0.0005220899076533462
196,sent,0.0005211884416247777
197,also,0.0005169705892612167
198,rejected,0.0005130284599007208
199,just,0.0005105234207145226
200,glory,0.0005098024059107135
201,sons,0.0005021278802098992
202,knowledge,0.0005020336086208316
203,another,0.0005007665121431249
204,father,0.000499422969877595
205,matter,0.0004969021998512882
206,violent,0.0004951658771901324
207,doth,0.000494892763832611
208,worship,0.0004947685081232774
209,believe,0.0004871331616178536
210,feed,0.0004813119508835628
211,many,0.0004804444185941404
212,prayer,0.0004718852394470656
213,anything,0.00046300741657062666
214,falsehood,0.00045935038227681895
215,bear,0.00045901225279428205
216,land,0.0004549671155243396
217,thing,0.00045465968811175464
218,great,0.0004515269489537004
219,doubt,0.0004505379161031717
220,beyond,0.0004483210941930126
221,follow,0.0004467335810648017
222,under,0.00044543264420119895
223,satan,0.00044154029480672626
224,whose,0.0004400920992653328
225,place,0.0004388674188420958
226,angels,0.00043815119084518765
227,merciful,0.0004355878074848097
228,soul,0.0004325465454837109
229,guidance,0.0004317581510101233
230,because,0.00043147160575287115
231,brothers,0.00042852294481677536
232,remember,0.00042713853393911593
233,came,0.00042542961980041033
234,much,0.0004240428930348299
235,very,0.00041536614124093395
236,know,0.0004148750085280707
237,signs,0.0004111158184111211
238,best,0.0004101843632023935
239,night,0.00040140921159463535
240,light,0.00039915079058340454
241,share,0.00039784390870451473
242,making,0.00039755184926446713
243,better,0.00039368884785759436
244,power,0.00038930328126792965
245,similar,0.0003782779422503974
246,judgment,0.00037699268068436547
247,way,0.0003758860852270593
